1,Mirtazapine,Depression,"""I ve tried a few antidepressants over the years (citalopram, fluoxetine, amitriptyline), but none of those helped with my depression, insomnia &amp; anxiety. My doctor suggested and changed me onto 45mg mirtazapine and this medicine has saved my life. Thankfully I have had no side effects especially the most common - weight gain, I ve actually lost alot of weight. I still have suicidal thoughts but mirtazapine has saved me.""",10,28-Feb-12,MOWRY MEDICAL PHARMACY,1999 MOWRY AVENUE,94538,510-793-5011
2,Mesalamine,"Crohn s Disease, Maintenance","""My son has Crohn s disease and has done very well on the Asacol.  He has no complaints and shows no side effects.  He has taken as many as nine tablets per day at one time.  I ve been very happy with the results, reducing his bouts of diarrhea drastically.""",8,17-May-09,MOWRY PLAZA PHARMACY,668 MOWRY AVENUE,94536,510-745-9900
3,Bactrim,Urinary Tract Infection,"""Quick reduction of symptoms""",9,29-Sep-17,KAISER PERMANENTE DALY CITY MEDICAL OFFICE,395 HICKEY BOULEVARD,94015,650-301-5788
4,Contrave,Weight Loss,"""Contrave combines drugs that were used for alcohol, smoking, and opioid cessation. People lose weight on it because it also helps control over-eating. I have no doubt that most obesity is caused from sugar/carb addiction, which is just as powerful as any drug. I have been taking it for five days, and the good news is, it seems to go to work immediately. I feel hungry before I want food now. I really don t care to eat; it s just to fill my stomach. Since I have only been on it a few days, I don t know if I ve lost weight (I don t have a scale), but my clothes do feel a little looser, so maybe a pound or two. I m hoping that after a few months on this medication, I will develop healthier habits that I can continue without the aid of Contrave.""",9,05-Mar-17,KAISER PERMANENTE TRACY MEDICAL OFFICE,2185 WEST GRANT LINE ROAD,95377,209-839-6212
5,Cyclafem 1 / 35,Birth Control,"""I have been on this birth control for one cycle. After reading some of the reviews on this type and similar birth controls I was a bit apprehensive to start. Im giving this birth control a 9 out of 10 as I have not been on it long enough for a 10. So far I love this birth control! My side effects have been so minimal its like Im not even on birth control! I have experienced mild headaches here and there and some nausea but other than that ive been feeling great! I got my period on cue on the third day of the inactive pills and I had no idea it was coming because I had zero pms! My period was very light and I barely had any cramping! I had unprotected sex the first month and obviously didn t get pregnant so I m very pleased! Highly recommend""",9,22-Oct-15,WALGREENS - 13596,300 UNIVERSITY AVENUE,94301,650-326-3404
6,Zyclara,Keratosis,"""4 days in on first 2 weeks.  Using on arms and face. Put vaseline on lips, under eyes and in nostrils to protect from cream.  So far no reaction at all.  I know I have many pre cancer and thought I would light up like a Christmas tree but so far so good.  Maybe it s coming but time will tell.""",4,03-Jul-14,FARMACIA REMEDIOS,3351 INTERNATIONAL BOULEVARD,94601,510-261-5300
7,Copper,Birth Control," had the copper coil for about 3 months now. I was really excited at the thought of not taking hormones. I m good with pain however I nearly fainted with insertion, couldn t belive how painful it was; the doctor did say it is very painful for some. Well 3 months in, my periods last 11 days and I m in pain for about 15 days with random twangs especially in the left side and I m considering whether I want to put up with the intense pain and heavy periods. I d recommend this 100% to somebody who doesn t already have heavy painful periods but right now it just isn t for me""",6,06-Jun-16,KAISER PERMANENTE HAYWARD MEDICAL CENTER OFFICES,27400 HESPERIAN BOULEVARD,94545,510-784-4220
8,Amitriptyline,Migraine Prevention,"""This has been great for me. I ve been on it for 2 weeks and in the last week I only had 3 headaches which went away with 2 Tylenol. I was having chronic daily headaches that wouldn t go away no matter what I took. I m still a little sleepy during the day, but I know that will get better. I take 10mg at night.""",9,21-Apr-09,KAISER PERMANENTE OAKLAND MEDICAL CENTER,3701 BROADWAY,94611,510-752-4181
9,Methadone,Opiate Withdrawal,"""Ive been on Methadone for over ten years and currently,I am trying to get off of this drug. Ive been decreasing my does 2 mgs per month for over a year. I am at 3 mgs and really starting to feel the withdraw.I don t plan to get my next 30 doses.because its almost rediculous how little it does for me. I have 3 does doses of 3 mg and Im terrified. Can anyone give me some truthful encouragement?.....""",7,18-Oct-16,KAISER FOUNDATION FREMONT MEDICAL CENTER NILES WEST PHARMACY,39400 PASEO PADRE PARKWAY,94538,510-248-3338
10,Levora,Birth Control,"""I was on this pill for almost two years. It does work as far as not getting pregnant however my experience at first was it didn t make a huge difference then 6 or 7 months into it my sex drive went down, along with being very very dry, my moodiness increased drastically. I would cry one second and then get angry with my husband over anything and everything. My skin has gotten a lot worse, I broke out in places I never had in the last week. So now I am on Yaz.""",2,16-Apr-11,CVS - 3937,124 BELLE MILL ROAD,96080,530-529-5509
